NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
10,medium,shallow,37,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,37,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,38,none,50,CA-ML,0,0.0
10,medium,shallow,38,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,38,none,50,TQMC-n2,0,0.0
10,medium,shallow,38,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,38,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,38,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,38,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,38,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,38,sh,50,ASTER-wh,0,0.0
10,medium,shallow,38,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,38,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,39,none,50,CA-ML,1,0.125
10,medium,shallow,39,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,39,none,50,TQMC-n2,1,0.125
10,medium,shallow,39,abayes,50,TQMC-ws_n2,1,0.125
10,medium,shallow,39,sh,50,TQMC-ws_n2,1,0.125
10,medium,shallow,39,abayes,50,TQMC-wh_n2,1,0.125
10,medium,shallow,39,sh,50,TQMC-wh_n2,1,0.125
10,medium,shallow,39,abayes,50,ASTER-wh,1,0.125
10,medium,shallow,39,sh,50,ASTER-wh,1,0.125
10,medium,shallow,39,abayes,50,ASTRID-ws,1,0.125
10,medium,shallow,39,sh,50,ASTRID-ws,1,0.125
10,medium,shallow,40,none,50,CA-ML,1,0.125
10,medium,shallow,40,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,40,none,50,TQMC-n2,0,0.0
