NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
200,low,deep,35,sh,50,TQMC-ws_n2,19,0.09595959595959595
200,low,deep,35,abayes,50,TQMC-wh_n2,10,0.050505050505050504
200,low,deep,35,sh,50,TQMC-wh_n2,19,0.09595959595959595
200,low,deep,35,abayes,50,ASTER-wh,11,0.05555555555555555
200,low,deep,35,sh,50,ASTER-wh,18,0.09090909090909091
200,low,deep,35,abayes,50,ASTRID-ws,11,0.05555555555555555
200,low,deep,35,sh,50,ASTRID-ws,15,0.07575757575757576
200,low,deep,36,none,50,CA-ML,5,0.025252525252525252
200,low,deep,36,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,36,none,50,TQMC-n2,6,0.030303030303030304
200,low,deep,36,abayes,50,TQMC-ws_n2,7,0.03535353535353535
200,low,deep,36,sh,50,TQMC-ws_n2,7,0.03535353535353535
200,low,deep,36,abayes,50,TQMC-wh_n2,6,0.030303030303030304
200,low,deep,36,sh,50,TQMC-wh_n2,5,0.025252525252525252
200,low,deep,36,abayes,50,ASTER-wh,8,0.04040404040404041
200,low,deep,36,sh,50,ASTER-wh,8,0.04040404040404041
200,low,deep,36,abayes,50,ASTRID-ws,8,0.04040404040404041
200,low,deep,36,sh,50,ASTRID-ws,10,0.050505050505050504
200,low,deep,37,none,50,CA-ML,14,0.0707070707070707
200,low,deep,37,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,37,none,50,TQMC-n2,9,0.045454545454545456
200,low,deep,37,abayes,50,TQMC-ws_n2,9,0.045454545454545456
